DataSource	Name	Country	CatalogId	NoradId	BirthDate	Operator	Users	Purpose	DetailedPurpose	LaunchMass	DryMass	Power	Lifetime	Contractor	LaunchSite	LaunchVehicle	OrbitType	Epoch	SMA	Ecc	Inc	RAAN	ArgP	MeanAnom
USSTRATCOM	IRIDIUM 33		1997-051C	24946														2025-11-17T17:50:28.565952	7153165.612787669	0.0006052	1.5077236182863256	1.3737922874760367	5.3203656986706545	0.9639121846206802
USSTRATCOM	IRIDIUM 33 DEB		1997-051L	33773														2025-11-17T18:06:49.313088	7126160.776068136	0.0009808	1.5079801816863687	1.242215405826688	4.001167310197	2.2826306075500358
USSTRATCOM	IRIDIUM 33 DEB		1997-051N	33775														2025-11-17T17:41:43.666080	7132052.655997141	0.0011641	1.5073501178263986	1.051098362074805	4.182041016568929	4.784165645872957
USSTRATCOM	IRIDIUM 33 DEB		1997-051P	33776														2025-11-17T20:17:26.573280	7142694.30105676	0.0012542	1.5079941443203846	1.5922464233019067	4.896620700237455	4.0574716318663375
USSTRATCOM	IRIDIUM 33 DEB		1997-051Q	33777														2025-11-17T16:05:46.885056	7086394.380153124	0.0006548	1.5076328611652217	0.8046229651081659	6.241930959650197	0.0433051094004833
USSTRATCOM	IRIDIUM 33 DEB		1997-051T	33850														2025-11-17T19:39:52.094880	7129862.239239894	0.0009626	1.5069870893419837	0.7136825844330013	4.274820974275696	4.445091805441758
USSTRATCOM	IRIDIUM 33 DEB		1997-051W	33853														2025-11-17T14:58:12.951264	7275965.191973194	0.02070339	1.501009336653903	0.014350097109897379	5.470226649563895	3.684662322323341
USSTRATCOM	IRIDIUM 33 DEB		1997-051AC	33859														2025-11-17T13:33:59.231232	6775698.850566239	0.00018443	1.5061929645323264	0.186214413883031	4.022229943610068	2.2628752257467117
USSTRATCOM	IRIDIUM 33 DEB		1997-051AD	33860														2025-11-17T11:36:45.887616	7049143.676562424	0.00099735	1.5077236182863256	0.6703460591059821	1.3165053454378266	5.34881282014891
USSTRATCOM	IRIDIUM 33 DEB		1997-051AF	33862														2025-11-17T16:12:11.549088	7042728.562617916	0.0054	1.5081512239530641	0.8477692495467176	2.6646866714700983	0.16382533023844775
USSTRATCOM	IRIDIUM 33 DEB		1997-051AK	33866														2025-11-17T20:57:38.259072	7186083.569108404	0.0112165	1.5061999458493343	1.8073757069027283	4.208371053664515	4.936218730306702
USSTRATCOM	IRIDIUM 33 DEB		1997-051AL	33867														2025-11-17T13:18:07.685568	6815224.962422768	0.00117719	1.5073431365093908	0.05054124447925179	2.6199940253142797	3.6665597673216554
USSTRATCOM	IRIDIUM 33 DEB		1997-051AP	33870														2025-11-17T19:00:11.050848	7118028.485638736	0.0019323	1.507528141410102	1.2034027739208382	4.618272100470896	4.511539980723686
USSTRATCOM	IRIDIUM 33 DEB		1997-051BA	33881														2025-11-17T10:14:43.881792	7084175.372317473	0.00593473	1.5077637608591212	2.05482499759198	4.503094332473286	2.776536096584155
USSTRATCOM	IRIDIUM 33 DEB		1997-051BD	33884														2025-11-17T04:23:49.214400	7017549.492067186	0.00123959	1.5074653095570303	0.3725876527279935	0.8984221950980972	0.034054864364913354
USSTRATCOM	IRIDIUM 33 DEB		1997-051BF	33886														2025-11-17T19:27:33.121728	7149854.787500675	0.0012971	1.5076555504454976	1.356464658662237	5.853406705522242	3.1042583155603825
USSTRATCOM	IRIDIUM 33 DEB		1997-051BG	33887														2025-11-17T15:13:57.254880	7145933.723088714	0.00051172	1.50634480817725	0.24796765347709437	5.969549640596205	2.9918102425128916
