DataSource	Name	Country	CatalogId	NoradId	BirthDate	Operator	Users	Purpose	DetailedPurpose	LaunchMass	DryMass	Power	Lifetime	Contractor	LaunchSite	LaunchVehicle	OrbitType	Epoch	SMA	Ecc	Inc	RAAN	ArgP	MeanAnom	OpsStatusCode	ObjectType
CELESTRAK	CALSPHERE 1		1964-063C	900	1964-10-06	US												2026-08-03T13:13:08.591232	7353861.100452028	0.0026448	1.5746238338445204	1.2719278910126395	2.522409176176773	4.321648158106703	+	PAY
CELESTRAK	CALSPHERE 2		1964-063E	902	1964-10-06	US												2026-08-03T14:05:03.115968	7439731.063681156	0.00206344	1.5748402546717675	1.3425334405728182	1.5650192869707953	5.772613669118172	+	PAY
CELESTRAK	LCS 1		1965-034C	1361	1965-05-06	US												2026-08-03T15:08:58.732512	9166003.931687582	0.00122114	0.5610011814685373	1.1234928741182777	5.061247136602568	1.2205104912488864	+	PAY
CELESTRAK	TEMPSAT 1		1965-065E	1512	1965-08-13	US												2026-08-03T11:51:37.151136	7511365.334899158	0.00715313	1.5707718921853686	3.710489704594353	2.0091532217257924	0.20230634958641874	+	PAY
CELESTRAK	CALSPHERE 4A		1965-065H	1520	1965-08-13	US												2026-08-03T11:54:52.831584	7501283.125486982	0.00693058	1.5690091096408543	2.129675187893009	5.791709316464244	3.5404457662310493	+	PAY
CELESTRAK	OPS 5712 (P/L 160)		1967-053A	2826	1967-05-31	US												2026-08-03T15:00:35.793792	7012816.012523834	0.0003642	1.2202643998243554	4.9212734759218755	5.155645014525934	1.1288859415069403	+	PAY
CELESTRAK	LES-5		1967-066E	2866	1967-07-01	US												2026-08-03T11:20:07.646208	39779180.38892282	0.0051302	0.047647488579445195	1.6576613636666542	3.7431762308257026	5.182842480259761	P	PAY
CELESTRAK	SURCAL 159		1967-053F	2872	1967-05-31	US												2026-08-03T09:33:00.254304	7273275.389643574	0.00049147	1.2212505108517322	4.5233226985039	0.5875633473546391	5.698098582033526	+	PAY
CELESTRAK	OPS 5712 (P/L 153)		1967-053H	2874	1967-05-31	US												2026-08-03T12:41:07.876896	7282912.979759887	0.00057295	1.22129239875378	0.24139823417258768	2.664765211286438	3.620879264809208	+	PAY
CELESTRAK	RIGIDSPHERE 2 (LCS 4)		1971-067E	5398	1971-08-07	US												2026-08-03T13:59:58.879104	7143498.368339614	0.00620516	1.5293465023892834	5.683701361033826	1.333351263378076	4.963972956071916	+	PAY
CELESTRAK	OSCAR 7 (AO-7)		1974-089B	7530	1974-11-15	US												2026-08-03T13:22:13.143648	7827198.325037874	0.00125225	1.780082248060041	4.00200681356721	0.7385098930426205	1.4567442961648231	P	PAY
CELESTRAK	STARLETTE		1975-010A	7646	1975-02-06	FR												2026-08-03T14:05:14.499168	7333696.206542977	0.02057704	0.8696033184891666	4.84325900368698	3.8336331552980645	2.4245764902854825	+	PAY
CELESTRAK	LAGEOS 1		1976-039A	8820	1976-05-04	US												2026-08-03T10:26:46.394016	12271186.475109398	0.00446584	1.9165006730544212	3.412157084892458	5.0987280822891465	3.9863075769455203	+	PAY
CELESTRAK	PHASE 3B (AO-10)		1983-058B	14129	1983-06-16	GER												2026-08-02T23:33:21.765024	26101766.558048584	0.59953793	0.45295308346532437	3.697912862004481	2.2430151241882683	5.275550879467196	P	PAY
CELESTRAK	UOSAT 2 (UO-11)		1984-021B	14781	1984-03-01	UK												2026-08-03T09:43:21.153216	6973265.947606719	0.00085098	1.7070995600586456	3.1497154159285747	0.6585057454604525	5.627843843652999	P	PAY
CELESTRAK	AJISAI (EGS)		1986-061A	16908	1986-08-12	JPN												2026-08-03T14:31:34.452768	7865651.16840907	0.00110926	0.8728688295196481	0.027684412595134055	5.260596898436109	2.8941800148148324	+	PAY
CELESTRAK	TDRS 3		1988-091B	19548	1988-09-29	US												2026-08-02T17:24:13.646880	42164025.80883145	0.00371002	0.21933203643962343	5.946059254193613	6.181378506581505	3.2934502611473153	+	PAY
CELESTRAK	COSMOS 1989 (ETALON 1)		1989-001C	19751	1989-01-10	CIS												2026-08-03T10:04:24.007584	25503715.54729273	0.00233353	1.1340102281907958	1.2318690940208656	3.794979348354146	6.140207934856211	+	PAY
CELESTRAK	COSMOS 2024 (ETALON 2)		1989-039C	20026	1989-05-31	CIS												2026-08-03T09:53:37.852224	25499840.960389335	0.00208116	1.1327658084341237	5.391470412396903	3.7053514552764812	2.7408161881128392	+	PAY
CELESTRAK	FLTSATCOM 8 (USA 46)		1989-077A	20253	1989-09-25	US												2026-08-03T06:12:35.766720	42164206.3388168	0.00019625	0.2165674349044644	6.123913540959591	2.0038561474459895	1.136656147336819	+	PAY
CELESTRAK	LUSAT (LO-19)		1990-005G	20442	1990-01-22	ARGN												2026-08-03T01:35:30.086880	7156077.427056325	0.00126072	1.7258583588590808	4.156698835829971	1.2360037790188403	5.051626881765575	P	PAY
